Symbol,ARIMA_AIC,ARIMA_SBIC,SARIMA_AIC,SARIMA_SBIC
ADANIPORTS,-21236.892676695257,-21214.153540921165,-21172.837761024173,-21144.41384130656
AXISBANK,-18169.921442424024,-18146.903516234142,-18135.91417961262,-18107.141771875267
BAJAJFINSV,-22600.082537021,-22577.06461083112,-22519.82649423597,-22491.054086498618
BAJFINANCE,-17687.386489744447,-17664.368563554566,-17655.909028572354,-17627.136620835
BHARTIARTL,-24062.95559549472,-24039.93766930484,-21684.51019735706,-21655.737789619707
BPCL,-18450.770383345407,-18427.752457155526,-18409.928649506997,-18381.156241769644
BRITANNIA,-20441.642820172718,-20418.624893982837,-20405.522877949486,-20376.750470212133
CIPLA,-24608.04287919661,-24585.02495300673,-24494.334307782476,-24465.561900045122
COALINDIA,-24644.502891293996,-24621.484965104115,-22203.747172458025,-22174.97476472067
DRREDDY,-24179.428725121667,-24156.410798931785,-21995.643370157268,-21966.870962419915
EICHERMOT,-17844.20618130698,-17821.1882551171,-17810.81472028097,-17782.042312543617
GAIL,-19528.96622031644,-19505.94829412656,-19481.740715385862,-19452.96830764851
GRASIM,-18211.826680871098,-18188.808754681217,-18179.986072966258,-18151.213665228905
HCLTECH,-18885.784917027486,-18862.766990837605,-18846.91225138273,-18818.13984364538
HDFC,-25061.10823569957,-25038.090309509687,-25047.118624286093,-25018.34621654874
HDFCBANK,-17683.7010035029,-17660.68307731302,-17660.33497705243,-17631.562569315076
HINDUNILVR,-24227.167045066006,-24204.149118876125,-24200.83476032527,-24172.062352587916
ICICIBANK,-18201.44264743515,-18178.42472124527,-18165.390023471213,-18136.61761573386
INFY,-17872.039858755037,-17849.021932565156,-17835.307295029095,-17806.534887291742
ITC,-22262.46410755669,-22239.44618136681,-22226.14078776897,-22197.368380031618
JSWSTEEL,-17713.44170777239,-17690.423781582507,-17677.285114579805,-17648.51270684245
KOTAKBANK,-20484.690957113784,-20461.673030923903,-20451.538212409985,-20422.765804672632
LT,-21048.660365117543,-21025.64243892766,-21009.304293426987,-20980.531885689634
MARUTI,-24270.952365045698,-24247.934438855817,-24250.009656062786,-24221.237248325433
NESTLEIND,-25396.81250989543,-25373.79458370555,-22059.15545279291,-22030.383045055558
POWERGRID,-25861.02455728933,-25838.006631099448,-22637.099745125037,-22608.327337387684
SBIN,-17627.615884476145,-17604.597958286264,-17593.15063668236,-17564.378228945006
SHREECEM,-24747.424750870458,-24724.406824680576,-22646.36476507617,-22617.592357338817
TATAMOTORS,-18506.074068026755,-18483.056141836874,-18473.97938057166,-18445.20697283431
TCS,-20326.048030035337,-20303.030103845456,-20285.688669578358,-20256.916261841005
TECHM,-18521.644843669706,-18498.626917479825,-18483.875860791184,-18455.10345305383
VEDL,-12725.606088002369,-12704.751014769894,-12694.177291863645,-12668.108450323052
WIPRO,-19983.577892025067,-19960.559965835186,-19945.162696558946,-19916.390288821593
ZEEL,-22552.543609566266,-22529.525683376385,-22534.38845546024,-22505.616047722888
