Symbol,Avg_Forecast_Volatility,Median_Volatility,SMA_Slope,Risk_Averse,Risk_Neutral,Risk_Tolerant
ADANIPORTS,0.04104722045951397,0.0217142239447472,,Sell,Sell,Buy
AXISBANK,0.023794321433067894,0.01861500900566425,,Sell,Hold,Buy
BAJAJFINSV,0.02875755588933932,0.018626259127947152,,Sell,Sell,Buy
BAJFINANCE,0.03532470348050817,0.019419280354105152,,Sell,Sell,Buy
BHARTIARTL,0.015878039175614218,0.01875792858769955,,Hold,Buy,Hold
BPCL,0.017870932905786705,0.019584707898894597,,Hold,Hold,Hold
BRITANNIA,0.01599635035730593,0.013816986263032599,,Hold,Hold,Buy
CIPLA,0.018872464586687055,0.015024223730665049,,Sell,Hold,Buy
COALINDIA,0.01782151709238299,0.0168337112231597,,Hold,Hold,Buy
DRREDDY,0.02010556446978909,0.01483253408266575,,Sell,Hold,Buy
EICHERMOT,0.02180695851342859,0.01877486521578755,,Hold,Hold,Buy
GAIL,0.023647957006376855,0.01797641683893375,,Sell,Hold,Buy
GRASIM,0.020169041329577583,0.0155943640980706,,Sell,Hold,Buy
HCLTECH,0.02088400232787152,0.01624269953247065,,Sell,Hold,Buy
HDFC,0.02520667161507444,0.0156758239147657,,Sell,Sell,Buy
HDFCBANK,0.023133699569097832,0.01148204683256145,,Sell,Sell,Buy
HINDUNILVR,0.015909251548437926,0.01256503579124745,,Sell,Hold,Buy
ICICIBANK,0.027180764139637218,0.0192017320564573,,Sell,Sell,Buy
INFY,0.015584094630375238,0.01447902324527525,,Hold,Hold,Buy
ITC,0.014718087481371883,0.01419824035690855,,Hold,Hold,Buy
JSWSTEEL,0.035421052652581234,0.02075736036735705,,Sell,Sell,Buy
KOTAKBANK,0.019613211664495867,0.015338970263781851,,Sell,Hold,Buy
LT,0.01908119295455549,0.0163356040440619,,Hold,Hold,Buy
MARUTI,0.01866854350670241,0.0156899571273905,,Hold,Hold,Buy
NESTLEIND,0.01484069597496469,0.013258512198861701,,Hold,Hold,Buy
POWERGRID,0.022226563747632593,0.013454535003138451,,Sell,Sell,Buy
SBIN,0.02643481182496855,0.0192145366687741,,Sell,Hold,Buy
SHREECEM,0.0235614766871392,0.01714183393469845,,Sell,Hold,Buy
TATAMOTORS,0.030373949400281323,0.02228086911224315,,Sell,Hold,Buy
TCS,0.01837873089478759,0.01459839601387785,,Sell,Hold,Buy
TECHM,0.01799518795996645,0.0170201918388016,,Hold,Hold,Buy
VEDL,0.026428139274293747,0.02403697090396895,,Hold,Hold,Buy
WIPRO,0.027832298475290448,0.013982107162977549,,Sell,Sell,Buy
ZEEL,0.034042799910741536,0.01995771943867525,,Sell,Sell,Buy
